event_id,event_title,event_type,date,prefecture,regulation,capacity,total_results
952998,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,高知県,スタンダード,64,16
952999,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,三重県,スタンダード,64,16
953000,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,愛知県,スタンダード,64,16
953001,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,大阪府,スタンダード,64,16
953002,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-05,大阪府,スタンダード,64,16
953003,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-06,大阪府,スタンダード,64,16
953004,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-06,滋賀県,スタンダード,64,16
953005,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-07,大阪府,スタンダード,64,16
953006,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-08,大阪府,スタンダード,64,16
953007,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-08,京都府,スタンダード,64,16
953008,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-09,奈良県,スタンダード,64,16
953009,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-09,大阪府,スタンダード,64,16
953010,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-09,愛知県,スタンダード,64,16
953011,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,愛知県,スタンダード,64,16
953012,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,愛知県,スタンダード,64,16
953013,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,広島県,スタンダード,64,16
953014,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,三重県,スタンダード,64,16
953015,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,大阪府,スタンダード,64,16
953016,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,静岡県,スタンダード,64,16
953017,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-11,大阪府,スタンダード,64,16
953018,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,山口県,スタンダード,64,16
953019,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-04-12,広島県,スタンダード,64,16
953116,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-14,福岡県,スタンダード,64,16
953117,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-14,佐賀県,スタンダード,64,8
953118,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-14,長崎県,スタンダード,64,16
953119,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,沖縄県,スタンダード,64,16
953120,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-15,福岡県,スタンダード,64,16
953121,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,大分県,スタンダード,64,16
953122,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,熊本県,スタンダード,64,16
953123,シティリーグ2026 シーズン4 オープンリーグ,シティリーグ,2026-03-20,鹿児島県,スタンダード,64,16
